Subject ID	Condition	Block #	Trial #	Switch Rate	Exemplar	File Name	Rating	RT	Rating History	Trial Duration	Block Duration	Session Duration	Experiment Duration	Start Date	Experiment	Testing Location	Experimenter Initials	Subject Initials
02	beautiful	1	1	0.5	8	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_08.mp3	50	1.819	[(None, 0.0), (50, 0.864), (50, 1.818)]	12.7378734528	12.7385664661	1076.33727819	14.562292175	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	2	0.7	14	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_14.mp3	25	1.423	[(None, 0.0), (25, 0.874), (25, 1.423)]	12.3297767344	25.0733479891	1088.67205892	26.8970729078	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	3	0.5	15	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_15.mp3	27	1.873	[(None, 0.0), (27, 0.95), (27, 1.873)]	12.7971343861	37.8750011853	1101.47371251	39.6987264992	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	4	0.4	13	../stimuli/combined/switch-0.4_chunk-500_C_G_alternating_13.mp3	25	1.39	[(None, 0.0), (25, 0.85), (25, 1.39)]	12.3114873472	50.1909820559	1113.78969338	52.0147077649	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	5	0.9	5	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_05.mp3	56	1.326	[(None, 0.0), (56, 0.855), (56, 1.325)]	12.2508964921	62.4464558336	1126.04516716	64.2701811475	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	6	0.1	3	../stimuli/combined/switch-0.1_chunk-500_C_G_alternating_03.mp3	32	2.367	[(None, 0.0), (32, 0.836), (32, 2.367)]	13.303471072	75.7543109852	1139.35302271	77.5780374844	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	7	0.8	11	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_11.mp3	14	1.842	[(None, 0.0), (23, 0.607), (22, 0.656), (14, 1.077), (14, 1.842)]	12.7683545794	88.5259797011	1152.12469063	90.349705015	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	8	0.3	19	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_19.mp3	13	3.455	[(None, 0.0), (9, 0.832), (13, 2.737), (13, 3.455)]	14.380024939	102.91084467	1166.5095556	104.734569984	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	9	0.7	19	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_19.mp3	18	1.604	[(None, 0.0), (18, 1.041), (18, 1.604)]	12.5141052306	115.42961648	1179.02832741	117.253341794	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	10	0.2	4	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_04.mp3	46	1.336	[(None, 0.0), (46, 0.897), (46, 1.336)]	12.2539680345	127.688063814	1191.28677514	129.511789128	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	11	0.2	12	../stimuli/combined/switch-0.2_chunk-500_C_G_alternating_12.mp3	19	1.421	[(None, 0.0), (19, 0.825), (19, 1.421)]	12.3472948775	140.039540478	1203.6382522	141.863266187	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	12	0.8	8	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_08.mp3	55	2.259	[(None, 0.0), (55, 1.055), (55, 2.259)]	13.181397611	153.226525657	1216.82523698	155.050251365	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	13	0.6	7	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_07.mp3	53	1.038	[(None, 0.0), (53, 0.645), (53, 1.038)]	11.9654607551	165.198034276	1228.79674639	167.021760775	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	14	0.6	17	../stimuli/combined/switch-0.6_chunk-500_C_G_alternating_17.mp3	29	1.54	[(None, 0.0), (29, 0.883), (29, 1.54)]	12.4578652662	177.658961997	1241.25767214	179.482686126	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	15	0.9	12	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_12.mp3	6	1.435	[(None, 0.0), (6, 0.788), (6, 1.435)]	12.3024378738	189.981531235	1253.58024217	191.805255759	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	16	0.7	6	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_06.mp3	52	1.226	[(None, 0.0), (52, 0.817), (52, 1.226)]	12.1156249605	202.111639937	1265.71035087	203.93536525	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	17	0.8	3	../stimuli/combined/switch-0.8_chunk-500_C_G_alternating_03.mp3	55	1.62	[(None, 0.0), (55, 1.164), (55, 1.619)]	12.5468123759	214.663616723	1278.26232805	216.487342827	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	18	0.9	17	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_17.mp3	7	1.138	[(None, 0.0), (7, 0.48), (7, 1.138)]	12.0612518649	226.731373589	1290.33008452	228.555098903	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	19	0.7	17	../stimuli/combined/switch-0.7_chunk-500_C_G_alternating_17.mp3	16	1.608	[(None, 0.0), (16, 0.951), (16, 1.608)]	12.5308173606	239.267136867	1302.86584819	241.090862576	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	20	0.3	15	../stimuli/combined/switch-0.3_chunk-500_C_G_alternating_15.mp3	22	1.974	[(None, 0.0), (22, 1.113), (22, 1.974)]	12.9154393404	252.185696348	1315.78440728	254.009421662	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	21	0.5	10	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_10.mp3	25	1.509	[(None, 0.0), (25, 0.725), (25, 1.509)]	12.4658072617	264.655961574	1328.25467251	266.479686888	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	22	0.5	19	../stimuli/combined/switch-0.5_chunk-500_C_G_alternating_19.mp3	16	2.232	[(None, 0.0), (15, 1.278), (16, 1.327), (16, 2.232)]	13.1714425581	277.831852218	1341.43056355	279.655577927	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
02	beautiful	1	23	0.9	10	../stimuli/combined/switch-0.9_chunk-500_C_G_alternating_10.mp3	12	1.635	[(None, 0.0), (12, 0.975), (12, 1.635)]	12.5633178663	290.398753682	1353.99746501	292.222479391	2019_Feb_15_0925	Sound Switch 12-20-2018	318-laptop	bpl	LMM
